"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"low_1";-11.08;-2.21;1.41;-4.81;-4.85
"low_2";-9.55;-4.4;-0.34;-3.08;-0.32
"low_3";-13.04;-1.12;5.43;5.17;5.4
"medium_1";0.35;8.35;-4.77;-6.22;4.36
"medium_2";-0.49;3.1;-1.51;3.96;-3.37
"medium_3";0.08;6.06;-6.47;5.62;-1.82
"elevated_1";12.45;6.79;9.41;-0.93;-1.73
"elevated_2";8.86;-10.73;-1.86;1;-0.88
"elevated_3";12.41;-5.84;-1.29;-0.72;3.22
