"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"U3218.5.297";-0.98;0.05;0.04;-0.13;0.01
"Nonanenitrile.9.methylthio";-0.96;0.17;0.15;-0.1;0.02
"Tryptophan";-0.96;-0.12;0.22;-0.04;0.02
"Quercitrin";-0.96;0.17;-0.13;0.07;-0.12
"Alanine";-0.95;0.04;0.28;-0.01;-0.05
"Eicosanoate";-0.95;-0.21;0.17;0.04;-0.01
"BenzoylGlucosinolate.3Breakdown";-0.95;0.31;-0.05;0.01;0
"Succinate";-0.94;0.27;0.08;0.08;-0.02
"beta.indole.3.acetonitrile";-0.93;0.19;-0.26;0.06;-0.09
"U2882.5.297";-0.92;0.26;-0.14;-0.22;0.01
"U2513.2.296.1";-0.91;-0.09;0.03;-0.06;-0.18
"U2929.1.297";-0.91;0.23;0.21;-0.12;0
"Glycerate";-0.91;0.23;0.09;0.32;0.01
"U2839.3.312";-0.91;0.32;-0.13;-0.18;0.05
"U2012.7.361";-0.9;0.3;0.15;0.03;-0.02
"Sinapinate.cis";-0.89;0.23;0.13;-0.26;-0.22
"Xylitol";-0.88;0;0.34;0.09;0.2
"U1983.0.217.1";-0.87;0.23;0.23;0.08;-0.01
"U1559.4.217";-0.86;0.42;0;-0.08;0.01
"U2798.377";-0.85;0.31;-0.32;0.13;-0.07
"Arginine";-0.83;0.13;0.38;0;0.29
"Raffinose";-0.82;0;0.29;0.08;0.19
"U3415.9.498";-0.8;-0.31;0.25;-0.22;0.02
"Heptadecanoate";-0.8;-0.23;0.29;0.19;-0.06
