"";"low_1";"low_2";"low_3";"medium_1";"medium_2";"medium_3";"elevated_1";"elevated_2";"elevated_3";"clust"
"AT1G01470.1";-1.01464437377373;-1.34050132278407;-0.844111871203553;1.0549063721737;1.32770668911273;0.158375894695411;1.15828363236313;-0.466437907283341;-0.0335771133002792;"3"
"AT1G18270.1";0.259789665623139;0.0945654475181566;0.104015003360287;1.07277935102563;0.470919952680312;1.28883010547507;-0.28748545441259;-1.12345614138715;-1.87995792988286;"3"
"AT1G19570.1";-1.49308207056246;-1.5282175027299;-0.191582326718514;0.760040688788558;0.884527564167401;0.86410335355747;-0.247736703792466;-0.147465722032607;1.09941271932251;"3"
"AT1G20200.1";-1.71334196136503;-1.39153226630408;-0.132159986528992;0.213154436392399;1.0817475853307;1.28654130431784;-0.0151244570177243;0.249708542247235;0.421006802927648;"3"
"AT1G65880.1";-0.714114681835312;-1.60424369104917;-0.778032117526364;0.26264720194861;0.911374945651697;1.81054882433636;-0.251801645230513;0.137542695258326;0.226078468446363;"3"
"AT1G66430.1";-1.31340508623467;-1.05733769272448;-0.481251865994875;1.35191812461091;0.000338316982206124;1.59787840752081;-0.413370088837712;-0.244841775023129;0.560071659700937;"3"
"AT1G70680.1";0.168274266599026;-0.533343426310968;-0.781665503848946;-0.139736098922307;2.02217509843672;1.26657933062093;-0.758728735583489;-0.706637251826108;-0.536917679164861;"3"
"AT1G79550.1";-0.689555273129453;-0.498879629301284;-0.41350813270604;1.88678274718463;1.4259236552624;0.266961167193506;-0.36120358664103;-0.847820403228119;-0.768700544634608;"3"
"AT2G19900.1";-0.377321950049011;-1.43672502893639;-1.04898440694624;0.743699291552703;0.826302133079598;1.80251196931449;0.112278423303524;-0.277202782589145;-0.344557648729526;"3"
"AT2G20560.1";-1.05211897718746;-1.42342705540168;-0.761087843866079;1.79793466044954;0.929018767285777;0.0242222524499292;0.133738774015904;-0.0604403135369647;0.412159735791027;"3"
"AT2G33070.1";-0.625972193888242;-0.625972193888242;-0.625972193888242;0.480570987995163;2.39953685000353;0.227053324413096;-0.625972193888242;0.0226998070294164;-0.625972193888242;"3"
"AT3G14360.1";-0.301155240569401;-0.250471919147635;0.783034699256138;0.26438490300585;1.72276489664417;0.898543655658683;-0.996644719465257;-1.33111457759095;-0.789341697791595;"3"
"AT3G27430.2";-0.389429641755803;-0.913485309671541;0.416832216817393;1.30027458594872;1.5848461326344;0.291508956963273;-0.972479585261577;-1.26662893390054;-0.0514384217743336;"3"
"AT3G58450.1";-1.80297416084098;-0.757646710966143;-0.645394040294406;0.810902898240431;1.02729408735229;0.869617534509355;-0.303727797875764;-0.260774476850315;1.06270266672553;"3"
"AT4G02280.1";0.452253214859906;-0.790794102780644;-0.812347778158339;1.25125123173535;1.47085049683954;0.66203984157717;-0.573391621510053;-0.26578193177487;-1.39407935078806;"3"
"AT4G11150.1";-0.932673155044523;-1.0989988932179;-0.0422969793344034;1.84553833278584;1.03904787430194;0.456750561619916;0.0813182852524493;-0.28052184607618;-1.06816418028714;"3"
"AT4G16210.1";-0.453907976807144;-0.233631526968675;0.888680692754192;0.340409578842897;0.846864718677346;1.57582236929779;-0.935256963516335;-1.60621187274663;-0.422769019533443;"3"
"AT4G16500.1";0.472618028900713;-0.0829227109978339;0.360184289751318;0.910372204689943;1.73237270405901;-0.159441294002293;-1.41438277321016;-0.654240597146711;-1.16455985204398;"3"
"AT5G01670.1";-1.38909033802181;-0.943179510988163;0.257847479290227;0.948754289013985;1.58676382817971;0.869458149246095;-0.575043358278989;-0.78047759844336;0.0249670600023055;"3"
"AT5G03860.1";-1.66272888176926;-1.66272888176926;-0.0325687219846046;0.850127554999009;0.634668086293114;0.759507965703908;-0.0891622117981874;0.467622423287102;0.735262667038177;"3"
"AT5G20950.1";0.842097130873536;0.0588594847839045;-0.668329369916491;1.10940106180973;1.03423104388297;0.934161750468423;-1.01570054079934;-1.10759674785718;-1.18712381324555;"3"
"AT5G42270.1";0.148773248363691;-1.1604792379763;-1.43559553242345;1.28307830578669;1.17296328772269;0.792709320868279;0.369429915648963;-0.364372462796124;-0.806506845194435;"3"
"AT5G47810.1";-0.593055162017576;-0.51184819118193;-0.390740018425494;2.04200503376948;0.934368003969249;0.732353036234048;-0.799126515556763;-0.797008395455858;-0.616947791335155;"3"
"AT5G48100.1";0.078138127873111;-0.605122811496781;-0.348893145658319;0.689558753894855;2.12238740109937;0.52103739762831;-0.442169195722462;-0.887059250576989;-1.1278772770411;"3"
"AT5G50370.1";-0.478846458039451;-1.00493663412847;-0.924025364741185;0.672150257912431;0.217559139628306;2.10211348152989;0.18195193669677;-0.958538467793453;0.192572108935156;"3"
"AT5G50600.1";-0.81185097264643;-0.844383450765382;-0.844383450765382;1.27426917325539;0.881711577371117;1.11774941309925;-0.844383450765382;0.9156546119822;-0.844383450765382;"3"
"AT5G52840.1";-1.40435425165938;-0.915838087276855;-0.472895196479998;1.0419931839358;1.19119898605091;0.755489746411784;0.402371383801635;0.581143822061872;-1.17910958684576;"3"
"AT5G58290.1";-0.0800735907814142;-0.651917814821754;-0.530211220842633;2.50803239924112;0.22314647162409;0.183864875707352;-0.543578482899312;-0.592912657828124;-0.516349979399328;"3"
"AT5G61780.1";0.243080618667018;-0.965221854688328;0.796624178101987;0.556399461290429;1.54497727103604;0.74386399454844;-0.64038162493276;-0.897812561729972;-1.38152948229285;"3"
"AT5G63030.1";-0.281648604227608;-0.46164758154384;0.487622223054234;0.469198297372137;0.398983921659046;1.99072741203484;-1.12196662097163;-1.36174691561754;-0.119522131759632;"3"
