"";"low_1";"low_2";"low_3";"medium_1";"medium_2";"medium_3";"elevated_1";"elevated_2";"elevated_3";"clust"
"Glycine";-0.920977379322571;-0.625077369972151;0.388848173194096;-1.01516874883388;-0.559661617640665;-0.450359655538732;2.06009456142506;0.25334184082423;0.868960195864607;"4"
"Threonine";-1.19943423170672;-1.18740755795478;-0.858737703143015;-0.137693026325631;-0.104360520614093;0.0325186474288394;1.54159903431138;0.660291553717791;1.25322380428623;"4"
"X4MTB";-1.00710929491072;-0.918404411042675;-0.999249154361227;-0.2866702441705;-0.373276972803616;-0.188088370064397;0.957100168185812;1.46595868924739;1.34973958991993;"4"
"X5MTP";-1.01830587952219;-0.882516246870343;-1.05664052321051;-0.312502679248169;-0.466078660245617;0.0352243841963363;0.903999879455549;1.506310151785;1.29050957365995;"4"
"X6MTH";-1.09723931056527;-0.966627425229602;-1.0652581125329;-0.154873250473135;-0.363849537662191;0.0675781909725638;0.792919892799171;1.55585172804016;1.2314978246512;"4"
"X7MTH";-1.12300302376161;-0.924547546030778;-1.08989541313328;-0.140177448623875;-0.33655508093779;0.0270762507544885;0.827944052138149;1.56744009457604;1.19171811501867;"4"
"X8MTO";-1.32653108630525;-0.951709593356081;-1.2772450152481;0.162998891213305;-0.0742253786774296;0.481650775619428;0.520273875463679;1.48819651219018;0.976591019100271;"4"
"Sulfite";-1.18105578349519;-0.638437576643333;-1.18105578349519;-0.47035364244451;-0.00742478438781268;-0.180261136942739;1.07715247225608;1.45904252583607;1.12239370931662;"4"
"U3122.4.202.I3M.";-1.26914988238127;-1.06943226141384;-1.20504975597253;0.00496754377238024;-0.0537942389074163;0.292298097925327;0.958809302132724;1.32033126652888;1.02101992831575;"4"
"UGlucosinolate140.1";-0.689237698340382;-0.689237698340382;-0.689237698340382;-0.665600628374679;-0.689237698340382;-0.535490569765624;1.00925692494725;1.43100469498414;1.51778037157044;"4"
"Glycerol.3.P";-0.0448127595733426;-1.33366704149552;-1.06733685068389;-0.331444502902637;-0.294136389659495;-0.181892957827304;1.87449904693006;0.249862026724067;1.12892942848806;"4"
"Galactinol";-1.03929255430384;-1.00558155517411;-1.05730235217481;-0.106698444432315;-0.276229850162766;-0.219731357893536;1.29494086337038;1.0123993181089;1.39749593266209;"4"
"Rhamnose";-0.970351986450321;-0.941366075086464;-0.932263975013687;-0.256614532443702;-0.457856485764648;-0.215551348568503;1.10378608577051;1.02061893840296;1.64959937915385;"4"
"U1270.1.240";-1.0986590063842;-0.93401757963172;-1.05956782952513;-0.24759177279483;-0.333485804735968;0.00860716580850903;0.92619153740405;1.4633396538799;1.2751836359794;"4"
"U1393.172";-0.718832779852721;-0.718832779852721;-0.718832779852721;-0.718832779852721;-0.289320892047929;-0.598853399819991;1.8051967032554;0.582566324703481;1.37574238331992;"4"
"U1408.4.298";-1.07407262425409;-1.02781622080162;-1.06943646119813;-0.129973611032375;-0.423620185712326;0.0765243787401694;1.17765060281722;1.18579843586847;1.28494568557268;"4"
"U1628.9.233";-0.806958537427144;-0.806958537427144;-0.806958537427144;-0.806958537427144;0.487404136175555;-0.806958537427144;1.13689079961746;1.59815879380605;0.812338957536655;"4"
"U1904.9.204";-0.658623186835529;-0.658623186835529;-0.658623186835529;-0.0240576323584097;-0.658623186835529;-0.658623186835529;2.14804212639045;0.0683392289751992;1.1007922111704;"4"
"U2053.6.321.1";-1.19544746878615;-0.534485050802549;-1.1473398388009;-0.228039504404845;-0.150390789368153;-0.280400003610171;0.828648296065477;0.872174351235685;1.8352800084716;"4"
"U2371.1.361";-0.654054019682086;-0.644094900570442;-0.654054019682086;-0.637886876860794;-0.654054019682086;-0.518102580173603;0.985993245239311;2.02077115822428;0.755482013187502;"4"
"U2473.361";-0.688236790167289;-0.688236790167289;-0.688236790167289;-0.688236790167289;-0.66662629193779;-0.465003930663533;0.769121305374007;1.54997094624594;1.56548513165053;"4"
"U2529.8.361";-1.13706318664483;-0.970125527449471;-1.07342159595697;-0.268613962694368;-0.219570036148571;0.0694568625591641;0.882976664479653;1.45708790277421;1.25927287908119;"4"
"U2692.9.361";-1.01553356454289;-0.876092872067202;-0.867850123715863;-0.477911696121239;-0.368216454854087;-0.270827619916223;1.32004250651905;1.29525052746471;1.26113929723375;"4"
"U2756.4.271";-0.721451057970231;-0.721451057970231;-0.721451057970231;-0.721451057970231;-0.707006598129365;-0.149003832472245;0.561601773262686;1.69896288634134;1.4812500028785;"4"
"U2828.8.361";-0.623062507883595;-0.623062507883595;-0.623062507883595;-0.623062507883595;-0.623062507883595;-0.623062507883595;0.954716554731881;2.0569975205253;0.726660972044391;"4"
"U2857.8.342";-0.840431200073589;-0.675234261660259;-1.33095290188758;-0.265547430795879;-0.364929640957223;0.023234394418166;1.65986835571849;0.398146811605094;1.39584587363278;"4"
"U2924.3.361";-0.778071095163398;-0.768751152686089;-0.778071095163398;-0.584032052048321;-0.551534496100296;-0.42417686835925;0.850990109450118;1.67066169476556;1.36298495530508;"4"
"U3188.1.361";-0.534721302393992;-0.534721302393992;-0.534721302393992;-0.534721302393992;-0.534721302393992;-0.534721302393992;0.06598269555794;0.751746347459133;2.39059877134688;"4"
"U3279.7.361";-1.1293745239199;-1.02443844801761;-1.05592638051231;-0.204267707225373;-0.193534792423469;0.0747031782109537;0.7609963714075;1.55118851152194;1.22065379095827;"4"
