"";"low_1";"low_2";"low_3";"medium_1";"medium_2";"medium_3";"elevated_1";"elevated_2";"elevated_3";"clust"
"beta.Sitosterol";0.316650219916704;-0.0282979795933382;1.10245975144119;-0.00135883642892248;0.412870917247954;1.4163412027384;-1.84397414389283;-0.971862014228132;-0.402829117201009;"2"
"Fumarate";0.0941586080014618;-0.160239148649881;0.212316938220162;0.311970024688741;0.834415726332785;1.88871425290913;-0.719880547358442;-1.30803315429261;-1.15342269985135;"2"
"Maleate";1.42886653630576;0.342200528935761;0.17786711237664;0.679118312086132;-0.474726229626146;1.17912457815849;-1.24707478756606;-1.08211455127355;-1.00326149939703;"2"
"myo.Inositol";-0.405918886682143;0.360233048958304;0.737044051992428;0.708146244253179;0.901872728507493;0.743097072461536;0.173710275003258;-1.81724867940999;-1.40093585508406;"2"
"U1154.3.156";-0.211560036915966;-0.140020905152882;0.298808454307167;1.41935204563982;0.938274179083379;0.919428449414565;-0.439485427008701;-1.52541854789302;-1.25937821147437;"2"
"U2688.5.333";0.386703500203913;-0.481731867117878;-0.848103349545822;0.546572660479378;1.22734976601173;1.71351933860614;-0.848103349545822;-0.848103349545822;-0.848103349545822;"2"
"U2798.377";0.354515468404479;1.06706022339782;0.635239711951339;0.320111548359908;0.717430620616603;0.804676619304181;-1.29967806401144;-1.29967806401144;-1.29967806401144;"2"
"U3701.368";0.686408328287293;1.1060599841479;0.171445449001281;1.31993077780952;0.125983533430811;0.205403165433147;-1.42259264682203;-1.25156099795392;-0.941077593333991;"2"
