"";"low_1";"low_2";"low_3";"medium_1";"medium_2";"medium_3";"elevated_1";"elevated_2";"elevated_3";"clust"
"Asparagine";-1.22827826528071;-1.00847362931774;-1.09653770245015;0.206281705535689;-0.120140928197798;0.0891311583830835;1.74931650917394;0.42626745563857;0.982433696515115;"3"
"Aspartate";-1.21497237741687;-1.19475335612692;-1.28135437297275;0.0627127923194481;0.319907636184842;0.501207246618466;1.32778977257067;0.393592298559026;1.0858703602641;"3"
"Glutamate";-1.24804535190077;-1.22410515078994;-1.42720941792834;0.736092087428288;0.419861529995973;0.623338808357713;0.928624715578213;0.257901681257925;0.933541098000935;"3"
"Isoleucine";-1.1681353104477;-1.21423141566685;-1.01829098795532;-0.0687856000941289;0.0849160410829856;0.391733705632544;1.72881788156126;0.339447755317293;0.924527930569918;"3"
"Leucine";-1.31677057296251;-1.1855765037407;-0.789084961117011;0.151098556885918;0.363309885439693;0.343076367630166;1.90160965287346;-0.0559580326734196;0.58829560766439;"3"
"Serine";-1.44613272157713;-1.10632317373292;-0.742084254615814;0.223414216029947;-0.128273197988971;0.111832680055903;1.6573404546768;0.337200913463436;1.09302508368875;"3"
"gamma.Tocopherol";-1.16385784496556;-1.41203592749407;-1.1969423777079;0.412073100782655;0.162670662634386;0.432205802376396;1.03995462531088;0.499012429072721;1.2269195299905;"3"
"X5..methylthio.pentanenitrile";-1.09286777017433;-0.842817980144488;-1.2993944849546;0.482729574791394;0.297536825765969;-0.0568840201346226;1.88367330561331;-0.0962605159819566;0.724285065219334;"3"
"BenzoylX.Glucosinolate.3";-1.45615720252587;-0.998979186654292;-1.35541947542064;0.528609572172466;0.350525762604679;1.29198228287126;0.33816193280854;0.727957969675547;0.573318344468311;"3"
"U2609.4.361";-1.38086647233116;-1.181043282592;-1.30476715560487;0.363365604484785;0.227408400804782;0.92565193220189;0.543982948424943;1.02172372618991;0.78454429842172;"3"
"UGlucosinolatebreakdown140.4";-1.14749789408436;-1.10424682988677;-0.626334553824085;-0.0871943960058729;-0.0125644785830838;-0.298417640566515;2.05381179318627;0.542479060922099;0.679964938842315;"3"
"H2SO4";-1.34383514232988;-1.14848085411216;-1.07140383190727;0.491076906902796;-0.141799766515805;1.10554870733926;0.940234683284487;0.00262203994487585;1.16603725739371;"3"
"Galactonate";-1.25501042202729;-1.3813031745978;-0.736428569400609;1.12248051906889;1.02234186714673;0.373045759547626;1.20816261878978;-0.240876162568127;-0.112412435959216;"3"
"Gluconate";-1.6989183891534;-1.0388147634016;-0.452329658640693;0.382248325077242;0.958876009697189;1.37984710845166;0.879517057932013;-0.16896254245996;-0.241463147502459;"3"
"Pentonate.4";-1.24305657036619;-1.02347343142855;-1.24305657036619;1.60342630545898;-0.00716719498032009;0.985196716884099;0.454304780605523;0.267200342209844;0.206625621982793;"3"
"Allantoin";-1.50891372583084;-1.33657590614955;-1.09582520164584;0.862919918026363;0.805219221544175;0.636558584874682;0.657961957264279;0.37553205650453;0.603123095412202;"3"
"Anhydroglucose";-0.97333838608375;-1.00948833232641;-1.35380485577836;0.548368100789921;-0.198673481400221;0.0928115846236328;1.58069214520397;0.161325699675812;1.1521075252954;"3"
"Arabinose";-0.570905420440148;-0.745695284919853;-1.38293157041676;0.103165452583523;0.987810319113888;1.71734091885762;0.764376298698771;-0.826681435931673;-0.0464792775453648;"3"
"Digalactosylglycerol";-1.37221510854846;-1.06348390057392;-1.06551131788146;0.265238470726307;-0.00704783155669731;0.216303801356167;1.26013764814792;0.34237385803661;1.42420438029353;"3"
"Galactose";-0.57075208166149;-1.1566058784513;-1.58090531151347;-0.396980741477141;0.134900055563258;0.721298075443082;1.48092065617204;0.606051893431028;0.762073332493991;"3"
"Glucopyranose..H2O.";-1.10432639678489;-0.826666555195381;-0.850894241563931;-0.118228885126435;-0.49081613579946;0.346324343500179;2.05742466357138;0.120775350390728;0.866407857007809;"3"
"Sucrose";-1.6741006663901;-0.867635963535372;-1.08652843956241;0.772415803078071;0.260462248174029;0.668312089939292;0.895304280040251;-0.12407477201334;1.15584542026958;"3"
"U1093.6.147";-0.696493251173094;-1.04066001354952;-1.13045987691816;1.20872175735162;1.79805226237504;0.0877773126065625;-0.245533375241152;-0.433319479024573;0.451914663573276;"3"
"U1718.0.157";-1.1172624986875;-1.1172624986875;-1.1172624986875;0.188218398134526;-0.368840684003549;0.295917966802598;1.65747670675264;0.755869192435889;0.823145915940383;"3"
"U2170.6.361";-1.00925497270473;-0.972157243490194;-1.3053743706055;0.308597220982406;0.00586372242454758;0.0718336604056451;1.88544064174988;0.223065904110654;0.791985437127291;"3"
"U3080.7.361";-1.29977880391817;-1.00542635283697;-1.28182569882586;0.0275041840533546;0.418045904771703;0.239981221533324;1.5973406182382;0.755987206995782;0.548171719988634;"3"
