"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"low_1";-22.31;-1.41;15.12;8.59;-6.91
"low_2";-21.3;-15.46;-2.34;-8.56;7.54
"low_3";-13.48;-0.96;-16.98;6.74;-1.08
"medium_1";3.59;19.38;0.98;5.36;11.26
"medium_2";1.82;15.11;0.68;-6.56;5.73
"medium_3";1.91;12.58;-6.24;-10.49;-14.96
"elevated_1";14.67;-3.3;17.66;3.9;-2.3
"elevated_2";15.49;-15.11;4.59;-8.7;2.53
"elevated_3";19.63;-10.82;-13.47;9.71;-1.82
