"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT1G48990.1";0.62;-0.22;-0.31;-0.05;0.51
"AT1G49240.1";-0.91;-0.04;0.31;-0.03;0
"AT1G49760.1";-0.28;-0.81;-0.18;-0.3;0.23
"AT1G50200.1";0.21;0.57;0.79;0;-0.01
"AT1G50380.1";0.33;-0.48;-0.15;0.41;-0.27
"AT1G50480.1";-0.01;-0.77;0.36;0.04;0.33
"AT1G51980.1";-0.34;-0.79;-0.17;-0.24;0.25
"AT1G52360.1";-0.72;-0.11;-0.47;0.08;-0.33
"AT1G52560.1";0.67;0.49;0.38;0.24;0.2
"AT1G52690.1";0.46;-0.39;0.57;-0.17;0.17
"AT1G53750.1";0.52;0.31;0.55;-0.26;0.35
"AT1G54010.1";-0.44;-0.17;0.58;0.41;-0.21
"AT1G54100.1";0.56;-0.22;0.64;0.37;-0.08
"AT1G54860.1";-0.56;0.09;0.46;-0.41;-0.38
"AT1G54870.1";-0.6;0.02;-0.17;0.54;-0.18
"AT1G55210.1";-0.47;0.08;0.03;-0.05;-0.82
"AT1G56070.1";0.47;0.18;0.74;-0.25;0.16
"AT1G56110.1";-0.58;-0.47;0.45;-0.14;0.27
"AT1G56330.1";0.47;0.34;-0.65;0.45;-0.04
"AT1G56340.1";0.49;-0.38;0.59;-0.44;0.02
"AT1G56600.1";0.82;0.17;0.42;-0.1;0.2
"AT1G57720.1";0.04;-0.9;-0.04;0.1;0.02
"AT1G60680.1";-0.16;0.45;-0.62;-0.32;0.41
"AT1G62000.1";-0.59;0.33;-0.1;-0.19;-0.64
"AT1G62080.1";-0.55;0.34;-0.23;-0.37;-0.59
"AT1G62240.1";-0.22;0.32;-0.16;-0.69;0.04
"AT1G62290.1";-0.1;-0.54;-0.29;-0.67;0.29
"AT1G63000.1";-0.43;0.34;-0.58;-0.36;-0.25
"AT1G63770.3";-0.89;-0.05;0.25;-0.01;0.02
"AT1G63940.1";0.77;0.36;0.23;0.32;0.22
"AT1G64110.1";-0.96;-0.07;0.1;-0.05;-0.04
"AT1G65090.2";0.88;-0.19;0.34;-0.2;-0.05
"AT1G65880.1";0.55;0.62;-0.12;-0.32;-0.39
"AT1G65930.1";-0.52;0.05;0.03;0.36;0.72
"AT1G65980.1";0.51;-0.43;-0.63;-0.1;0.27
"AT1G66430.1";0.53;0.61;-0.36;-0.14;-0.12
"AT1G67090.1";-0.68;-0.46;-0.1;-0.5;-0.04
"AT1G68010.1";0.89;-0.32;-0.13;0.04;0.05
