"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT3G58610.1";0.78;-0.53;-0.27;0.09;-0.05
"AT3G58680.1";0.6;0.43;0.47;0.16;0.28
"AT3G60340.1";-0.84;0.01;0.38;-0.29;-0.23
"AT3G60730.1";-0.96;0.2;-0.09;-0.11;0.07
"AT3G60750.1";0.41;-0.16;0.77;-0.26;-0.31
"AT3G60820.1";0.06;0.12;-0.48;-0.67;0.13
"AT3G61220.1";0.51;-0.33;-0.48;0.37;-0.1
"AT3G62030.1";0.47;-0.65;-0.29;0.47;-0.11
"AT3G62120.1";-0.34;-0.4;0.53;0.56;-0.01
"AT3G62730.1";-0.24;0.42;-0.31;-0.66;-0.43
"AT3G63170.1";0.31;-0.52;0.09;-0.69;0.01
"AT3G63460.1";0.09;-0.54;0.45;-0.2;0.38
"AT3G63520.1";-0.72;-0.19;-0.16;-0.09;-0.52
"AT3G63540.1";-0.84;0.16;-0.05;-0.43;-0.09
"AT4G01050.1";0.61;0.48;0.39;0.18;-0.18
"AT4G01900.1";-0.03;-0.92;-0.32;0.18;0
"AT4G02280.1";-0.11;0.85;0.3;-0.27;0.12
"AT4G02340.1";0.54;-0.48;-0.43;-0.33;0.01
"AT4G02360.1";-0.75;0.2;0.32;0.45;0.26
"AT4G02450.1";0.44;0.46;0.69;0.14;0.26
"AT4G02510.1";-0.35;0.22;-0.2;-0.35;-0.02
"AT4G02520.1";0.27;0.38;-0.85;-0.07;-0.22
"AT4G03200.1";0.23;-0.78;-0.05;-0.55;-0.05
"AT4G04460.1";-0.59;0.29;-0.19;0.36;-0.25
"AT4G05420.1";-0.8;-0.07;-0.15;0.32;0.12
"AT4G08390.1";-0.14;0.61;0.62;-0.01;0.02
"AT4G09000.1";0.18;0.62;-0.7;-0.02;-0.28
"AT4G09320.1";0.27;0.43;-0.07;0.08;0.24
"AT4G09600.1";0.75;0.27;0.23;0.16;0.51
"AT4G10020.1";0.85;0.06;0.42;0.27;0.04
"AT4G10040.1";-0.71;0.17;-0.2;0.07;0
"AT4G10320.1";-0.01;-0.19;0.78;0.07;0.26
"AT4G10750.1";-0.24;-0.82;-0.24;0.25;0.08
"AT4G11150.1";0.24;0.87;0.04;-0.12;0.3
"AT4G11600.1";-0.33;-0.17;-0.77;0.01;-0.02
"AT4G12130.1";-0.29;-0.81;-0.35;0.18;-0.02
"AT4G12290.1";-0.66;0.43;0.52;-0.02;-0.22
"AT4G12420.1";-0.75;0.17;0.22;0.03;-0.17
"AT4G13010.1";-0.57;-0.6;-0.14;-0.14;0.25
"AT4G13200.1";-0.7;0.18;0.23;0.25;0.19
"AT4G13360.1";-0.44;0.45;0.22;-0.25;-0.24
"AT4G13430.1";0.49;-0.17;0.7;-0.27;0.39
"AT4G13850.1";-0.3;0.49;0.37;0.33;0.54
"AT4G13930.1";-0.42;0.42;0.62;0.26;-0.01
"AT4G13940.1";0.6;0.57;-0.37;0.08;0.34
"AT4G14030.1";0.36;-0.42;0.26;0.15;-0.5
"AT4G14160.1";0.47;-0.1;0.61;0.25;0.21
"AT4G14880.1";0.41;0.64;0.22;0.19;-0.34
"AT4G15410.1";0.05;-0.31;0.79;-0.01;0.21
"AT4G15530.1";-0.69;-0.03;0.36;0.46;-0.38
"AT4G16155.1";-0.03;-0.82;-0.22;0.1;0.1
"AT4G16210.1";-0.3;0.71;-0.52;-0.15;-0.25
"AT4G16500.1";-0.49;0.66;-0.09;-0.13;0.35
"AT4G16690.1";-0.62;0.62;-0.03;-0.01;-0.13
"AT4G16720.1";-0.51;-0.56;-0.28;-0.46;-0.05
"AT4G16760.1";0.88;0.01;0.05;-0.06;-0.26
"AT4G18100.1";0.26;0.41;0.27;0.42;0.62
"AT4G18920.1";-0.1;-0.38;-0.67;0.34;-0.06
"AT4G19410.1";-0.58;0.3;0.13;0.7;-0.02
"AT4G20360.1";0.94;-0.14;0.15;0.13;0.01
"AT4G20830.1";0.35;0.37;0.51;-0.18;-0.57
"AT4G20850.1";-0.59;0.31;-0.14;0.37;-0.42
"AT4G21020.1";0.75;-0.2;0.28;-0.02;-0.13
"AT4G21150.1";-0.54;0.53;0.53;0.26;-0.23
"AT4G21280.1";0.71;0.23;-0.13;-0.47;-0.44
"AT4G21580.1";0.65;-0.52;0.11;-0.02;-0.26
"AT4G21860.1";0.68;0.11;0.5;-0.08;-0.09
"AT4G22670.1";0.49;0.35;0.54;0.19;-0.28
"AT4G24190.1";0.76;-0.31;0.52;-0.11;0.2
"AT4G24280.1";0.58;-0.14;0.2;-0.4;-0.36
"AT4G24620.1";-0.07;-0.92;0.07;-0.35;0.01
"AT4G24830.1";0.31;0.23;-0.78;-0.01;0.22
"AT4G25130.1";-0.83;0.12;-0.08;0.42;0.19
"AT4G25140.1";0.04;-0.19;0.82;-0.21;0.05
"AT4G25580.1";0.39;-0.27;0.05;-0.33;0.23
"AT4G25740.1";0.34;0.46;0.11;-0.35;-0.58
"AT4G26740.1";0.37;-0.04;-0.69;0.29;-0.04
"AT4G27090.1";0.31;0.65;-0.21;-0.42;0.32
"AT4G27140.1";0.62;0.02;0.56;-0.28;-0.06
"AT4G27160.1";-0.36;0.51;0.38;-0.53;-0.24
"AT4G27170.1";-0.24;-0.54;0.25;-0.34;0.42
"AT4G27500.1";-0.57;-0.01;0.59;0.02;-0.03
"AT4G27520.1";-0.89;-0.08;-0.21;0.14;0.07
"AT4G28510.1";0.27;0.71;-0.59;-0.02;-0.15
"AT4G28520.1";0.29;-0.11;-0.28;0.48;-0.34
"AT4G29840.1";0.89;-0.35;-0.01;0.16;0.1
"AT4G30880.1";-0.74;0.54;-0.03;0.02;0.37
"AT4G31180.1";0.16;-0.51;-0.66;0.37;-0.04
"AT4G31490.1";0.19;0.03;0.3;0.2;0.25
"AT4G31700.1";-0.26;0.4;0.72;0.24;0.41
"AT4G31990.1";0.72;-0.23;-0.16;0.34;0.35
"AT4G32770.1";0.29;0.33;0.74;-0.04;0.31
"AT4G32920.1";-0.73;0.43;0.23;-0.07;0.07
"AT4G33090.1";0.77;0.12;-0.39;0.1;0.3
"AT4G33650.1";0.05;0.23;0.26;0.29;0.08
"AT4G34110.1";-0.26;-0.49;-0.51;0.24;-0.48
"AT4G34180.1";0.47;0.27;-0.15;-0.79;0.16
"AT4G34200.1";-0.28;-0.72;0.38;-0.19;-0.01
"AT4G34260.1";0.26;0.23;0.56;0.65;0.3
"AT4G34450.1";0.53;-0.02;0.42;0.29;0.06
"AT4G34480.1";-0.84;-0.17;0.06;-0.22;0.13
"AT4G34670.1";0.66;-0.36;0.33;0.08;0.45
"AT4G34870.1";-0.73;0.05;0.15;-0.04;-0.63
"AT4G35090.1";0.72;-0.39;0.1;0.29;-0.14
"AT4G35260.1";-0.79;-0.23;-0.44;-0.1;0.02
"AT4G35630.1";0.6;-0.31;0.59;-0.13;-0.32
"AT4G35790.1";-0.74;0.27;0.23;0.15;-0.42
"AT4G35830.1";-0.56;-0.15;0.46;-0.45;0.19
"AT4G36020.1";-0.32;-0.09;0.33;-0.17;-0.03
"AT4G36195.1";0.83;-0.32;-0.06;-0.07;-0.05
"AT4G36360.1";-0.86;0.38;0.01;-0.21;0.26
"AT4G36600.1";-0.02;0.56;-0.67;-0.2;0.3
"AT4G36700.1";0.16;-0.67;0.7;0.02;0.05
"AT4G37000.1";0.75;-0.21;0.36;-0.44;0.24
"AT4G37050.1";0.52;-0.15;-0.48;-0.57;-0.04
"AT4G37550.1";-0.81;0.03;0.16;0.02;0.24
"AT4G37870.1";-0.12;-0.83;0.33;0.01;-0.24
"AT4G37910.1";-0.78;-0.03;0.34;0.1;0.27
"AT4G38220.1";-0.1;0.54;-0.2;-0.23;-0.29
"AT4G38350.1";-0.25;0.62;0.5;0.23;-0.03
"AT4G38740.1";0.35;-0.63;-0.02;-0.22;0.55
"AT4G38970.1";0.67;-0.39;-0.48;0.17;-0.03
"AT4G39260.1";0.52;0.34;0.39;-0.15;0.62
"AT4G39660.1";-0.77;0.16;0;-0.12;0.36
"AT5G01300.1";-0.21;-0.6;0.68;-0.24;-0.11
"AT5G01670.1";0.28;0.8;-0.44;-0.18;0.13
"AT5G02240.1";-0.69;-0.14;-0.56;-0.23;0.21
"AT5G03860.1";0.78;0.47;-0.36;-0.08;0.01
"AT5G04430.1";-0.74;-0.17;0.41;0.33;0.13
"AT5G04590.1";-0.52;0.45;0.42;-0.22;-0.08
"AT5G04885.1";-0.94;0.23;-0.06;-0.05;0.08
"AT5G05010.1";0.16;0.58;0.46;-0.14;-0.06
"AT5G06060.1";-0.48;0.69;0.1;0.44;-0.04
"AT5G06760.1";0.17;0.18;0.66;-0.02;0.31
"AT5G07030.1";-0.62;-0.62;0.11;0;0.21
"AT5G07190.2";0.29;-0.61;0.38;-0.54;0.02
"AT5G07350.1";0.31;-0.57;0.63;0.01;-0.1
"AT5G07440.1";0.12;0.17;-0.51;0.29;-0.07
"AT5G07830.1";-0.34;0.08;0.58;0;-0.61
"AT5G08380.1";0.2;-0.4;0.28;0.36;-0.49
"AT5G08530.1";-0.1;0.6;-0.6;-0.33;-0.28
"AT5G08670.1";-0.31;-0.67;-0.44;0.26;0.04
"AT5G09590.1";0.33;-0.7;-0.49;0.3;-0.15
"AT5G09640.1";-0.91;-0.04;-0.15;0.29;-0.25
"AT5G09810.1";0.07;-0.69;0.05;-0.2;0.46
"AT5G10160.1";0.25;0.57;0.38;0.34;-0.54
"AT5G10560.1";-0.58;0.15;0.44;-0.05;0.59
"AT5G10860.1";0.73;0.27;-0.4;0.41;0.18
"AT5G11170.1";0.1;0.35;0.16;-0.5;0.06
"AT5G11520.1";0.7;-0.54;-0.08;0.09;-0.4
"AT5G11560.1";0.13;0.18;0.2;0.78;-0.09
"AT5G11680.1";0.06;0.7;0.29;-0.05;0.44
"AT5G11880.1";0.69;0.44;0.29;-0.2;-0.42
"AT5G12030.1";0.02;0.92;0.22;0.14;0.2
"AT5G12040.1";-0.45;-0.03;-0.25;-0.63;-0.27
"AT5G12950.1";-0.91;-0.01;-0.21;0.03;0.07
"AT5G13120.1";0.04;-0.21;0.76;-0.14;0.41
"AT5G13420.1";0.83;0.03;-0.41;0.2;0.2
"AT5G13430.1";0.39;-0.56;-0.43;0.5;-0.24
"AT5G13450.1";-0.29;0.45;-0.56;-0.51;-0.15
"AT5G13850.1";-0.28;-0.64;-0.43;0.4;0.17
"AT5G13980.1";-0.17;0.84;0.37;0.12;-0.26
"AT5G14030.1";0.58;-0.1;0.41;-0.19;-0.4
"AT5G14040.1";0.67;-0.19;-0.39;0.06;0.02
"AT5G14450.1";-0.2;0.75;0.45;-0.06;0.34
"AT5G14780.1";-0.75;0.34;-0.48;-0.21;0.09
"AT5G15090.1";0.15;0.62;0.14;0.22;-0.47
"AT5G15530.1";-0.84;0.21;-0.28;0.03;-0.11
"AT5G15650.1";0.35;-0.25;-0.88;-0.15;-0.01
"AT5G16050.1";0.25;0.43;-0.81;0.11;-0.06
"AT5G16840.1";-0.27;-0.6;-0.43;-0.02;-0.38
"AT5G16970.1";0.26;0.52;0.62;0.26;-0.34
"AT5G17310.2";0.71;0.21;-0.66;-0.01;-0.08
"AT5G17380.1";-0.7;0.23;-0.11;0.13;-0.43
"AT5G17920.1";0.05;0.93;0.12;-0.05;-0.24
"AT5G18170.1";-0.78;-0.04;-0.17;0.43;-0.37
"AT5G18900.1";0.39;0.2;-0.12;-0.24;0.21
"AT5G19140.1";-0.95;0.08;0.12;0.14;-0.06
"AT5G19440.1";0.68;0.02;-0.21;-0.39;-0.36
"AT5G19510.1";-0.02;0.55;0.13;0.17;-0.75
"AT5G19550.1";0.19;-0.75;0.01;-0.14;0.03
"AT5G19760.1";0.02;0;-0.88;0.27;-0.21
"AT5G19770.1";-0.04;-0.73;-0.52;-0.12;0.33
"AT5G19860.1";0.67;-0.48;-0.19;0.49;0.13
"AT5G19990.1";0.73;0.26;-0.31;-0.21;0.31
"AT5G20010.1";0.61;-0.25;0.36;-0.49;0.15
"AT5G20280.1";-0.71;-0.51;-0.44;-0.11;0.13
"AT5G20290.1";0.12;0.36;0.37;0.47;0.61
"AT5G20720.1";0.74;-0.48;0.29;-0.3;-0.04
"AT5G20950.1";-0.47;0.77;0.14;-0.21;0.02
"AT5G20960.1";0.13;0.6;0.7;0.13;-0.07
"AT5G21990.1";-0.07;0.54;0.17;-0.11;-0.07
"AT5G22460.1";-0.79;0.04;-0.09;-0.02;0.52
"AT5G22470.1";0.36;0.46;0.52;0.18;0.34
"AT5G22810.1";-0.25;0.64;0.28;-0.2;-0.55
"AT5G26000.1";-0.35;0.28;-0.09;-0.78;-0.18
"AT5G26120.1";-0.47;-0.76;-0.36;0.05;0.21
"AT5G26360.1";0.54;0.52;-0.4;-0.04;0.18
"AT5G26830.1";0.5;-0.78;-0.16;-0.12;-0.3
"AT5G27540.1";-0.17;-0.25;-0.59;-0.49;-0.12
"AT5G27640.1";-0.2;0.08;-0.43;-0.37;-0.63
"AT5G27850.1";-0.6;-0.36;-0.06;0.25;0.56
"AT5G28840.1";0.86;0.07;-0.38;-0.16;0.04
"AT5G34940.2";-0.78;-0.41;-0.02;-0.22;0.05
"AT5G35360.1";-0.03;-0.84;0.1;0.39;0.31
"AT5G36210.1";0.43;-0.19;0.21;0.79;0.01
"AT5G36880.1";0.44;-0.81;-0.15;0.13;0.08
"AT5G37510.1";-0.85;-0.27;0.36;-0.14;0.09
"AT5G38160.1";0.04;-0.54;-0.09;-0.75;-0.09
"AT5G38170.1";0.88;-0.17;0.02;-0.13;-0.25
"AT5G38470.1";-0.41;-0.21;-0.01;0.56;-0.31
"AT5G39410.1";-0.01;-0.58;-0.31;0.53;-0.41
"AT5G39570.1";-0.58;0.36;0.35;-0.22;0.41
"AT5G39720.1";-0.59;-0.45;-0.58;-0.2;0.2
"AT5G39730.1";0.57;0.03;-0.65;-0.04;-0.1
"AT5G40370.1";-0.7;-0.22;-0.55;-0.07;0.21
"AT5G40420.1";-0.32;-0.18;0.39;-0.01;0.18
"AT5G40760.1";-0.75;0.01;-0.45;0.26;0
"AT5G40770.1";0.42;0.65;-0.51;-0.1;-0.29
"AT5G42270.1";0.26;0.81;0.45;-0.16;0.01
"AT5G42740.1";0.31;-0.72;-0.44;0.36;-0.1
"AT5G42790.1";0.23;0.31;-0.51;0.19;0.47
"AT5G42980.1";-0.02;-0.34;-0.71;0.22;0.44
"AT5G43060.1";-0.7;-0.12;-0.3;0.18;-0.42
"AT5G43600.1";-0.5;-0.28;0.52;0.39;0.19
"AT5G43940.1";0.83;-0.26;0.05;0.03;-0.08
"AT5G44120.1";0.17;0.68;-0.4;-0.41;0.07
"AT5G44120.2";0.29;0.52;-0.08;-0.33;0.29
"AT5G44120.3";0.84;-0.39;-0.24;0.06;-0.02
"AT5G44310.1";0.88;-0.06;0.33;0.01;0.2
"AT5G44380.1";0.36;0.5;-0.33;0.4;-0.12
"AT5G45690.1";0.1;0.57;0.41;-0.17;-0.25
"AT5G46070.1";-0.4;0.14;0.06;-0.38;0.49
"AT5G46230.1";-0.08;0.29;-0.31;-0.69;-0.18
"AT5G46290.1";-0.86;0.23;-0.06;0.02;0.3
"AT5G47550.1";-0.41;0.27;-0.42;0.18;-0.26
"AT5G47810.1";0.03;0.9;-0.13;-0.13;0.3
"AT5G48100.1";-0.15;0.85;0.12;-0.26;0.13
"AT5G48180.1";-0.75;0.01;-0.16;0.15;0.53
"AT5G48230.2";0.36;0.63;0.59;0.03;-0.25
"AT5G48300.1";-0.76;0.14;0.04;0.26;-0.19
"AT5G49190.1";-0.41;0.42;-0.49;0.16;0.5
"AT5G49460.1";-0.54;0.46;0.41;0.38;-0.23
"AT5G49650.1";0.66;-0.21;-0.18;0.57;-0.09
"AT5G49910.1";0.21;-0.78;-0.21;-0.21;-0.46
"AT5G50250.1";0.17;-0.92;0.14;0.3;-0.11
"AT5G50370.1";0.34;0.69;-0.06;-0.16;-0.46
"AT5G50600.1";0.32;0.62;0;-0.53;0.14
"AT5G50850.1";-0.12;0.69;-0.21;-0.06;-0.65
"AT5G50920.1";0.62;-0.68;-0.26;0.07;0.04
"AT5G51970.1";0.77;-0.02;0.52;0.17;0.03
"AT5G52300.1";0.68;0.4;0.3;0.2;-0.31
"AT5G52640.1";0.66;0.07;-0.3;-0.31;0.09
"AT5G52840.1";0.45;0.64;0.13;-0.49;0.21
"AT5G53560.1";0.49;-0.09;-0.51;-0.17;0.24
"AT5G54080.1";0.4;0.61;0.57;0.32;0.07
"AT5G54740.1";0.1;0.66;0.05;0.5;0.09
"AT5G54770.1";0.59;0.2;-0.12;0.71;-0.07
"AT5G54960.1";-0.76;-0.13;0.52;-0.3;0.14
"AT5G55070.1";-0.47;-0.47;0.15;-0.06;-0.05
"AT5G55240.1";0.58;0.35;-0.67;0.05;-0.01
"AT5G55410.1";-0.81;0.32;-0.22;0.13;0.2
"AT5G55480.1";0.05;0.29;0.61;0.27;-0.22
"AT5G55730.1";-0.8;-0.3;0.23;-0.08;-0.05
"AT5G57110.1";-0.95;-0.01;0.22;0.19;0.04
"AT5G57550.1";-0.99;-0.1;-0.08;0;0.04
"AT5G57655.2";0.75;0.1;0.38;-0.3;0.21
"AT5G58070.1";-0.92;0.36;-0.07;-0.09;0.05
"AT5G58290.1";0.04;0.78;0.06;0.14;0.37
"AT5G59310.1";-0.88;0.22;0.12;-0.29;0.2
"AT5G59420.1";-0.57;0.26;0.63;0.11;-0.32
"AT5G59880.1";0.15;0.47;-0.66;0.28;0.22
"AT5G60640.1";0.02;-0.05;0.82;0.44;-0.26
"AT5G61410.1";0.57;-0.72;-0.23;-0.26;0.09
"AT5G61780.1";-0.32;0.84;-0.08;-0.11;-0.06
"AT5G61790.1";0.1;-0.74;-0.23;0.36;0.2
"AT5G62490.1";0.25;0.26;-0.67;0.38;-0.44
"AT5G62530.1";0.45;-0.09;0.31;-0.49;0.02
"AT5G63030.1";-0.19;0.7;-0.51;-0.15;-0.39
"AT5G63620.1";0.42;-0.72;-0.04;-0.46;0.13
"AT5G63800.1";-0.86;0.25;-0.25;0.32;0.09
"AT5G64260.1";0.52;-0.09;-0.51;-0.14;0.37
"AT5G64350.1";-0.69;-0.37;-0.09;-0.31;0.19
"AT5G64570.1";-0.19;-0.82;-0.23;-0.01;-0.31
"AT5G65750.1";-0.77;0.43;0.29;-0.15;-0.05
"AT5G66090.1";0.52;0.56;-0.21;0.04;0.19
"AT5G66190.1";0.9;-0.21;0.27;-0.05;-0.21
"AT5G66400.1";-0.32;0.29;-0.57;-0.41;-0.43
"AT5G66420.1";0.72;-0.24;0.4;0.34;0.24
"AT5G66570.1";0.96;0.13;0.09;0.06;0.04
"AT5G66590.1";-0.79;0.17;0.02;-0.27;0.42
"AT5G66760.1";-0.78;-0.32;0.12;0.46;-0.19
"AT5G66780.1";0.32;-0.08;0.89;0.04;-0.11
"AT5G67360.1";-0.73;0.23;0.3;-0.19;-0.4
"AT5G67500.1";-0.03;-0.66;-0.6;-0.14;-0.01
"ATCG00120.1";0.85;0.21;-0.16;0.07;-0.24
"ATCG00480.1";0.72;-0.27;0.43;0.04;-0.33
"ATCG00490.1";-0.74;0.23;0.32;-0.2;0.25
