"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT5G66570.1";0.96;0.13;0.09;0.06;0.04
"AT1G20620.1";0.95;-0.26;0.14;-0.04;-0.02
"AT2G38040.1";0.94;-0.02;0.06;0.29;0
"AT4G20360.1";0.94;-0.14;0.15;0.13;0.01
"AT3G23570.1";0.93;-0.23;0.03;-0.01;0.17
"AT1G43670.1";0.92;-0.32;0.16;0.05;0.08
"AT2G29300.1";0.92;0.08;-0.07;0.24;-0.03
"AT1G03030.1";0.91;-0.32;0.22;-0.03;0.02
"AT1G18500.1";0.91;-0.18;0.33;0.07;0.07
"AT2G44060.1";0.9;-0.15;0.18;0.13;-0.25
"AT5G66190.1";0.9;-0.21;0.27;-0.05;-0.21
"AT3G12960.1";0.9;-0.14;-0.21;-0.28;0.13
"AT3G16895.1";0.9;0.01;0;-0.13;0.03
"AT1G68010.1";0.89;-0.32;-0.13;0.04;0.05
"AT4G29840.1";0.89;-0.35;-0.01;0.16;0.1
"AT5G44310.1";0.88;-0.06;0.33;0.01;0.2
"AT3G14990.1";0.88;0.05;-0.13;0.28;0.01
"AT4G16760.1";0.88;0.01;0.05;-0.06;-0.26
"AT5G38170.1";0.88;-0.17;0.02;-0.13;-0.25
"AT1G74310.1";0.88;0.41;-0.22;0.03;0.09
"AT1G65090.2";0.88;-0.19;0.34;-0.2;-0.05
"AT1G07140.1";0.87;0.2;-0.16;-0.04;0.28
"AT3G12580.1";0.86;-0.22;0.23;-0.1;-0.22
"AT3G12800.1";0.86;0.22;-0.3;0.12;0.13
"AT2G23110.1";0.86;-0.3;0.32;0.14;-0.03
"AT3G44300.1";0.86;0.09;0.11;-0.01;-0.37
"AT5G28840.1";0.86;0.07;-0.38;-0.16;0.04
"AT1G07920.1";0.85;-0.21;0.05;0.09;0.21
"AT4G10020.1";0.85;0.06;0.42;0.27;0.04
"ATCG00120.1";0.85;0.21;-0.16;0.07;-0.24
"AT5G44120.3";0.84;-0.39;-0.24;0.06;-0.02
"AT1G10590.1";0.84;0.34;-0.12;0.02;0.13
"AT2G43520.1";0.84;-0.36;0.27;0.14;-0.03
"AT5G43940.1";0.83;-0.26;0.05;0.03;-0.08
"AT2G37660.1";0.83;0.41;-0.02;0.02;0.26
"AT1G20260.1";0.83;-0.22;0.27;-0.18;-0.26
"AT5G13420.1";0.83;0.03;-0.41;0.2;0.2
"AT4G36195.1";0.83;-0.32;-0.06;-0.07;-0.05
"AT1G48130.1";0.83;0.04;-0.25;-0.16;-0.16
"AT2G36640.1";0.82;-0.47;0.14;0.17;0.07
"AT1G56600.1";0.82;0.17;0.42;-0.1;0.2
"AT3G52960.1";0.81;-0.23;-0.11;0.23;-0.44
"AT3G12780.1";0.81;0.22;0.29;0.3;-0.18
"AT3G26070.1";0.81;0.17;-0.37;0.33;0.09
"AT2G32120.1";0.81;-0.53;-0.09;-0.06;-0.19
"AT1G77090.1";0.8;0.33;0.27;-0.26;-0.09
