"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT3G17940.1";0.25;-0.93;0.06;-0.06;0.04
"AT3G26380.1";0.06;-0.93;-0.2;0.07;0.23
"AT4G01900.1";-0.03;-0.92;-0.32;0.18;0
"AT4G24620.1";-0.07;-0.92;0.07;-0.35;0.01
"AT5G50250.1";0.17;-0.92;0.14;0.3;-0.11
"AT1G57720.1";0.04;-0.9;-0.04;0.1;0.02
"AT1G72680.1";-0.21;-0.9;0.14;0.11;-0.18
"AT3G44110.1";0.28;-0.89;-0.04;0.08;0.14
"AT1G68560.1";0.38;-0.89;-0.2;-0.01;0.03
"AT2G05990.1";-0.04;-0.88;-0.38;-0.11;0.06
"AT3G58550.1";-0.05;-0.87;-0.01;-0.31;0.02
"AT3G44100.1";-0.4;-0.86;0.19;0.14;0.18
"AT5G35360.1";-0.03;-0.84;0.1;0.39;0.31
"AT3G26060.1";0.31;-0.84;-0.25;0.26;0.16
"AT4G37870.1";-0.12;-0.83;0.33;0.01;-0.24
"AT5G64570.1";-0.19;-0.82;-0.23;-0.01;-0.31
"AT4G16155.1";-0.03;-0.82;-0.22;0.1;0.1
"AT3G53110.1";-0.18;-0.82;-0.15;0.18;-0.23
"AT4G10750.1";-0.24;-0.82;-0.24;0.25;0.08
"AT5G36880.1";0.44;-0.81;-0.15;0.13;0.08
"AT2G42740.1";0.13;-0.81;-0.55;-0.04;0.09
"AT4G12130.1";-0.29;-0.81;-0.35;0.18;-0.02
"AT1G49760.1";-0.28;-0.81;-0.18;-0.3;0.23
